branch,marks,caste,Cap_round_no,status,college_name
,,GOVERNMENT,2,,
,,MAHARASHTRA,2,,
,,CAP,2,,
,,SSC,2,,
Civil Engineering,83.8,NGOPENH,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,83.8,NGSCH,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,83.8,NGSTH,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,83.8,NGNTAH,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,83.8,NGOBCH,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,83.8,NGSEBCH,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,83.8,NLOPENH,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,83.8,NLNTDH,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,83.8,NLSEBCH,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,74.8,NGSEBCH,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,78.2,NGSCO,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,78.2,NGSTO,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,78.2,NGNTAO,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,78.2,NGOBCO,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,78.2,NGSEBCO,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,78.2,NLOPENO,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,78.2,NLNTCO,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,52.4,TGOPENO,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,DEFR,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,GOVERNMENT,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,MAHARASHTRA,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,CAP,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,SSC,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.0,DEFOPENS,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.0,TFWS,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.0,ORPHAN,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.0,PWD,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,86.0,DEF21640,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,DEFR,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,GOVERNMENT,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,MAHARASHTRA,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,CAP,2,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,SSC,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.0,NGOPENH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.0,NGSCH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.0,NGSTH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.0,NGNTBH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.0,NGOBCH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.0,NLOPENH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.0,NLSCH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.0,NLOBCH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.0,PWDOPENH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,73.8,TGSTH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,87.4,NGSTH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,87.4,NGSEBCH,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.6,NGOPENO,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.6,NGSCO,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.6,NGNTBO,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.6,NLSTO,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.6,NLOBCO,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.6,NLSEBCO,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,DEFR,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,GOVERNMENT,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,MAHARASHTRA,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,CAP,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,SSC,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.2,DEFOPENS,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.2,EWS,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.2,TFWS,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.2,ORPHAN,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.2,PWD,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.2,DEF6423,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,DEFR,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,GOVERNMENT,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,MAHARASHTRA,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,CAP,2,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,SSC,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,88.6,NGOPENH,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,88.6,NGSCH,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,88.6,NGSTH,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,88.6,NGNTCH,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,88.6,NGOBCH,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,88.6,NLOPENH,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,88.6,NLSTH,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,88.6,NLOBCH,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,79.4,NGNTDH,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,79.4,NGSEBCH,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,91.0,NGOPENO,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,91.0,NGSTO,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,91.0,NLOPENO,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,85.2,TGNTDO,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,,DEFR,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,,GOVERNMENT,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,,MAHARASHTRA,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,,CAP,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,,SSC,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,91.0,DEFOPENS,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,91.0,EWS,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,91.0,ORPHAN,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,91.0,PWD,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,91.0,DEF7062,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,,DEFR,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,,GOVERNMENT,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,,MAHARASHTRA,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,,CAP,2,Government,"Government Polytechnic, Murtijapur"
Information Technology,,SSC,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,84.2,NGOPENH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,84.2,NGSCH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,84.2,NGNTAH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,84.2,NGOBCH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,84.2,NGSEBCH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,84.2,NLOPENH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,84.2,NLSCH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,84.2,NLOBCH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,84.2,NLSEBCH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,65.0,TLSEBCH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,70.2,NLSTH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,67.6,TGSCH,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,DEFR,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,GOVERNMENT,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,MAHARASHTRA,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,CAP,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,SSC,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,87.4,NGOPENO,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,87.4,NGSCO,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,87.4,NGOBCO,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,87.4,NLOPENO,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,87.4,NLOBCO,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,87.4,NLSEBCO,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,62.4,TLOBCO,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,87.2,DEFOPENS,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,87.2,EWS,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,87.2,ORPHAN,2,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,87.2,PWD,2,Government,"Government Polytechnic, Murtijapur"
