branch,marks,caste,Cap_round_no,status,college_name
,,GOVERNMENT,1,,
,,MAHARASHTRA,1,,
,,CAP,1,,
,,SSC,1,,
Civil Engineering,80.8,NGOPENH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,80.8,NGSCH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,80.8,NGSTH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,80.8,NGNTAH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,80.8,NGNTBH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,80.8,NGOBCH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,80.8,NLOPENH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,80.8,NLSCH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,80.8,NLSTH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,80.8,NLOBCH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,80.8,PWDOPENH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,60.0,TGOPENH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,60.0,TLOPENH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,78.6,TGOBCH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,89.0,TGSEBCH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,89.0,TLSCH,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,DEFR,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,GOVERNMENT,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,MAHARASHTRA,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,CAP,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,SSC,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,85.4,NGOPENO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,85.4,NGSCO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,85.4,NGNTAO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,85.4,NGOBCO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,85.4,NLOPENO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,85.4,NLSCO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,85.4,NLOBCO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,82.8,TGOPENO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,75.2,NLNTCO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,78.4,TGSTO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,78.4,TGNTCO,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,DEFR,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,GOVERNMENT,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,MAHARASHTRA,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,CAP,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,SSC,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,84.4,EWS,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,84.4,TFWS,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,DEFR,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,GOVERNMENT,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,MAHARASHTRA,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,CAP,1,Government,"Government Polytechnic, Murtijapur"
Civil Engineering,,SSC,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,90.2,NGOPENH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,90.2,NGSCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,90.2,NGNTBH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,90.2,NGNTCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,90.2,NGOBCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,90.2,NGSEBCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,90.2,NLOPENH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,90.2,NLSCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,90.2,NLNTCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,90.2,NLOBCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,82.6,TGOPENH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,82.6,TGSCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,82.6,TGOBCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,82.6,TLOPENH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,82.6,TLOBCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.4,NGSEBCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.4,NLNTAH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,89.4,NLSEBCH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,78.2,TGSTH,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,DEFR,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,GOVERNMENT,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,MAHARASHTRA,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,CAP,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,SSC,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.8,NGOPENO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.8,NGSCO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.8,NGNTBO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.8,NGNTDO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.8,NGOBCO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.8,NGSEBCO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.8,NLOPENO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.8,NLOBCO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,91.8,NLSEBCO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,88.6,TGOPENO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,92.6,TGSEBCO,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,83.6,EWS,1,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,83.6,TFWS,1,Government,"Government Polytechnic, Murtijapur"
